model,split,n,positive_rate,roc_auc,pr_auc,brier_score,accuracy
baseline_majority_class,validation,111,0.1891891891891892,,,,0.8108108108108109
logistic_regression_C=0.001,train,333,0.2402402402402402,0.8618577075098814,0.7129909979205938,0.2224443099336179,0.7987987987987988
logistic_regression_C=0.001,validation,111,0.1891891891891892,0.8619047619047618,0.5697514685596092,0.1990309767473737,0.8198198198198198
logistic_regression_C=0.001,test,111,0.6126126126126126,0.9285225718194255,0.886242961006294,0.2131732332116241,0.6576576576576577
decision_tree,train,333,0.2402402402402402,0.9902667984189722,0.9643904876451068,0.0417388919113165,0.945945945945946
decision_tree,validation,111,0.1891891891891892,0.7060846560846562,0.4147453576025005,0.1349770633214993,0.8648648648648649
decision_tree,test,111,0.6126126126126126,0.2995896032831737,0.582886195018548,0.6965581517241534,0.2612612612612612
random_forest,train,333,0.2402402402402402,1.0,1.0,0.010927027027027,1.0
random_forest,validation,111,0.1891891891891892,0.7788359788359788,0.4146687633564552,0.1530333333333333,0.8108108108108109
random_forest,test,111,0.6126126126126126,0.4649452804377565,0.5499402956500518,0.4683540540540541,0.3873873873873873
gradient_boosting,train,333,0.2402402402402402,0.9897233201581028,0.9670532952050954,0.0553694978306074,0.9429429429429428
gradient_boosting,validation,111,0.1891891891891892,0.7031746031746032,0.4259715197002687,0.1438809462280313,0.8108108108108109
gradient_boosting,test,111,0.6126126126126126,0.521374829001368,0.6263524122201707,0.4722001257392633,0.3963963963963964
elastic_net,train,333,0.24024024024024024,0.8782608695652174,0.7609544504997581,0.13897592573528889,0.8228228228228228
elastic_net,validation,111,0.1891891891891892,0.8417989417989418,0.5348367864819289,0.12960709512728139,0.8108108108108109
elastic_net,test,111,0.6126126126126126,0.9329685362517101,0.8980295455825058,0.2580516577963415,0.4144144144144144
recency_weighted_logistic,train,333,0.24024024024024024,0.8340415019762846,0.6105528791275532,0.1867722691061436,0.7597597597597597
recency_weighted_logistic,validation,111,0.1891891891891892,0.8343915343915344,0.48040695182928184,0.1656803052099763,0.8108108108108109
recency_weighted_logistic,test,111,0.6126126126126126,0.9196306429548564,0.8741209360666831,0.29303831219202636,0.38738738738738737
naive_bayes,train,333,0.24024024024024024,0.8565217391304348,0.6859101975233616,0.20354116793318944,0.7957957957957958
naive_bayes,validation,111,0.1891891891891892,0.8296296296296295,0.49319052117891754,0.18860714738406917,0.8108108108108109
naive_bayes,test,111,0.6126126126126126,0.9199726402188783,0.8769350560530528,0.6125048137227669,0.38738738738738737
repo_specific_apache/airflow,test,22,0.8181818181818182,0.5694444444444444,0.8366546579781873,0.16896295583372298,0.8181818181818182
partial_pooling_apache/airflow,test,22,0.8181818181818182,0.7916666666666666,0.9186440931216473,0.133285796729036,0.8181818181818182
